epoch,baseline_cknna_score,repa_cknna_score,delta_cknna_score
10,0.09180361445873263,0.10616174214176118,0.014358127683028549
20,0.09632012003289576,0.11529884113132,0.01897872109842423
30,0.09554372338128723,0.12217811766511659,0.026634394283829355
40,0.09652770690537564,0.12561699686758535,0.029089289962209705
50,0.09684716271341941,0.12869787518583647,0.03185071247241707
60,0.09953940690907173,0.13347153416575755,0.03393212725668582
70,0.09952639787978253,0.13400188229663734,0.034475484416854815
80,0.09983119004608927,0.13344359649513543,0.03361240644904616
