student_layer,cknna_delta
0,+0.00046050
1,+0.00729989
2,+0.03361241
3,+0.01586679
4,+0.00410161
5,+0.00008908
6,+0.00006734
7,+0.00235945
8,+0.00016119
9,-0.00343107
10,-0.00280609
11,-0.00250659
12,+0.00305506
