student_layer,cknna
0,0.01687171
1,0.04848076
2,0.06973925
3,0.09365302
4,0.11618520
5,0.13571664
6,0.14359884
7,0.16437684
8,0.17765132
9,0.19659404
10,0.22802173
11,0.24783246
12,0.26068989
