epoch,baseline_cknna_score,repa_cknna_score,delta_cknna_score
10,0.04665662973246136,0.06413816248819025,0.01748153275572889
20,0.05055485554778806,0.08005328221502633,0.029498426667238273
30,0.05400486340085468,0.08896593325840842,0.034961069857553734
40,0.054593413578865206,0.09123117507375282,0.036637761494887615
50,0.056507339121290086,0.09528271216474779,0.038775373043457705
60,0.057399277748265025,0.10175228232457928,0.044353004576314255
70,0.05814419284840052,0.10297182709239161,0.04482763424399109
80,0.06039249489539478,0.10834461694362395,0.04795212204822917
90,0.06110305750518513,0.10867175222540996,0.04756869472022483
100,0.060773763402588665,0.11363481828113564,0.052861054878546976
110,0.06189443373747402,0.11995191282493954,0.05805747908746552
120,0.060574099027651936,0.12068478319465005,0.060110684166998114
130,0.06564782231659182,0.1260419463328903,0.06039412401629847
140,0.06435963181899289,0.12802391357210524,0.06366428175311235
150,0.0660041317024677,0.1305347223111811,0.0645305906087134
160,0.06693630817851928,0.1328380216996625,0.06590171352114321
170,0.0678884765806428,0.13612142643642972,0.06823294985578691
180,0.06950578271803669,0.13734113587500862,0.06783535315697194
190,0.06965407448818141,0.14303371596644857,0.07337964147826716
200,0.06973925170633366,0.14135672580742709,0.07161747410109343
