student_layer,cknna
0,0.01781305
1,0.07503396
2,0.14135673
3,0.14575041
4,0.15719277
5,0.16227445
6,0.17694131
7,0.18892496
8,0.20348353
9,0.22861851
10,0.25300999
11,0.27011250
12,0.27710738
