student_layer,cknna
0,0.01696309
1,0.07026271
2,0.09983119
3,0.13003721
4,0.15797102
5,0.18820718
6,0.20567501
7,0.24608282
8,0.28564372
9,0.32844721
10,0.35850812
11,0.39388764
12,0.36958911
