index,image,baseline_miou,repa_miou,delta_miou,num_gr_truth_classes,valid_fraction
0,ADE_val_00000001.jpg,0.5514612065080475,0.673873082628868,0.1224118761208205,7,0.9896681689238653
1,ADE_val_00000002.jpg,0.4185203100512351,0.3361451913743806,-0.08237511867685449,6,0.9050549450549451
2,ADE_val_00000003.jpg,0.2172106878767342,0.1901797084547407,-0.027030979421993506,12,0.983075
3,ADE_val_00000004.jpg,0.5145980189257716,0.32660432412498813,-0.18799369480078348,8,0.9830366947291361
4,ADE_val_00000005.jpg,0.41609907198633406,0.4003079311862354,-0.015791140800098635,7,0.7867916666666667
5,ADE_val_00000006.jpg,0.21283024071690207,0.2077448447160751,-0.005085396000826969,5,0.9926050054904831
6,ADE_val_00000007.jpg,0.399336605652282,0.5874116249057071,0.18807501925342507,5,0.9694970760233919
7,ADE_val_00000008.jpg,0.5767337682897137,0.6356319439450707,0.05889817565535704,4,0.9094933333333334
8,ADE_val_00000009.jpg,0.07336500703042714,0.0979941082561028,0.02462910122567566,14,0.9471308390299479
9,ADE_val_00000010.jpg,0.11073798983262594,0.14099985962949121,0.03026186979686528,15,0.9651246376811594
10,ADE_val_00000011.jpg,0.39483432074345565,0.40369793892521666,0.008863618181761013,6,0.9889317468619246
11,ADE_val_00000012.jpg,0.1803284893921256,0.15654496653867664,-0.023783522853448952,7,0.7990096830985915
12,ADE_val_00000013.jpg,0.13306330905563604,0.12734132324186712,-0.005721985813768926,10,0.9811790156841536
13,ADE_val_00000014.jpg,0.3943458945932319,0.4532692214985817,0.05892332690534979,6,0.9826220488653001
14,ADE_val_00000015.jpg,0.19823523973821014,0.22841119255002712,0.03017595281181698,8,0.9844580507697948
15,ADE_val_00000016.jpg,0.18767045319964154,0.21768267555138612,0.030012222351744583,7,0.9928841145833334
16,ADE_val_00000017.jpg,0.27053111174382244,0.49664519860565426,0.22611408686183182,7,0.9831269349845201
17,ADE_val_00000018.jpg,0.17423342519890908,0.15142913232346908,-0.022804292875440002,8,0.9912109375
18,ADE_val_00000019.jpg,0.11313680297675364,0.11351366446730851,0.00037686149055486673,6,0.9829228855721392
19,ADE_val_00000020.jpg,0.16609465432761836,0.13772353806356755,-0.02837111626405081,5,0.5579681396484375
20,ADE_val_00000021.jpg,0.11414150791784605,0.12135104496888942,0.007209537051043366,12,0.7607035825402635
21,ADE_val_00000022.jpg,0.44031110787577266,0.43999442563495716,-0.00031668224081549123,4,0.9903630136986301
22,ADE_val_00000023.jpg,0.3991340734403473,0.33475610582221255,-0.06437796761813475,5,0.9886610486891386
23,ADE_val_00000024.jpg,0.21104553995381162,0.9844069826420614,0.7733614426882498,2,0.993351368045388
24,ADE_val_00000025.jpg,0.10119787245817764,0.07646748698899143,-0.02473038546918621,3,0.617767333984375
25,ADE_val_00000026.jpg,0.17743137520243762,0.13650660151548868,-0.04092477368694894,3,0.4440057803468208
26,ADE_val_00000027.jpg,0.45528251371621686,0.3930645513358305,-0.06221796238038635,4,0.5222552478652751
27,ADE_val_00000028.jpg,0.2913038856750153,0.24867900894881087,-0.042624876726204436,3,0.9256946707953064
28,ADE_val_00000029.jpg,0.14354540178783398,0.13314639832061592,-0.01039900346721806,5,0.662060070020269
29,ADE_val_00000030.jpg,0.21525390697751276,0.185328804556193,-0.029925102421319766,7,0.9811664989019033
30,ADE_val_00000031.jpg,0.3665535482254606,0.4095367884975379,0.04298324027207728,8,0.9856646916178624
31,ADE_val_00000032.jpg,0.35978919578691504,0.2703657789848316,-0.08942341680208343,7,0.7729485038433382
32,ADE_val_00000033.jpg,0.1693970907291022,0.3401561667889848,0.1707590760598826,4,0.987421875
33,ADE_val_00000034.jpg,0.3568594557302611,0.4908636606286388,0.13400420489837767,3,0.9910795267150396
34,ADE_val_00000035.jpg,0.5245541248200029,0.733829137583184,0.20927501276318117,5,0.9746243006277293
35,ADE_val_00000036.jpg,0.18439844500062078,0.2979238239089193,0.11352537890829853,6,0.69615
36,ADE_val_00000037.jpg,0.32947517784974195,0.24134826025968897,-0.08812691759005298,4,0.9683758934054881
37,ADE_val_00000038.jpg,0.074161654016764,0.10839802270019012,0.034236368683426124,9,0.9880721843338666
38,ADE_val_00000039.jpg,0.22988906907181691,0.12376778151505972,-0.10612128755675719,6,0.950867876351388
39,ADE_val_00000040.jpg,0.1286606287420048,0.1521269546574814,0.02346632591547662,8,0.8266980463030746
40,ADE_val_00000041.jpg,0.4448034070504384,0.4084728599541566,-0.03633054709628181,5,0.9724385245901639
41,ADE_val_00000042.jpg,0.255559701919429,0.2292512196492518,-0.026308482270177208,5,0.9970279412627339
42,ADE_val_00000043.jpg,0.46951278250061806,0.5308563595916924,0.06134357709107435,6,0.9614550597108736
43,ADE_val_00000044.jpg,0.04926606653334089,0.06592791480373045,0.016661848270389558,13,0.9877578635620915
44,ADE_val_00000045.jpg,0.6154912253824706,0.6801780981264548,0.06468687274398421,11,0.9924420067715959
45,ADE_val_00000046.jpg,0.2565645336538279,0.2617517818443633,0.005187248190535398,7,0.9928053333333333
46,ADE_val_00000047.jpg,0.2107387811361781,0.20872454399591783,-0.0020142371402602777,7,0.9884499679721815
47,ADE_val_00000048.jpg,0.3182915025749255,0.45236840335615003,0.13407690078122453,5,0.9868265787760416
48,ADE_val_00000049.jpg,0.5525583276740936,0.6501422441448934,0.09758391647079978,11,0.9886901766105417
49,ADE_val_00000050.jpg,0.2582561866103932,0.25049449557708936,-0.007761691033303819,9,0.9468988095238096
50,ADE_val_00000051.jpg,0.09805306120718824,0.18880015280851992,0.09074709160133168,7,0.9761360677083334
51,ADE_val_00000052.jpg,0.2597640725829642,0.22401664073101826,-0.03574743185194593,11,0.9893965043923866
52,ADE_val_00000053.jpg,0.33314237179283884,0.34005742003318656,0.006915048240347721,6,0.9853108723958334
53,ADE_val_00000054.jpg,0.0041355114522253125,0.03519877541039575,0.031063263958170433,6,0.7738978998901903
54,ADE_val_00000055.jpg,0.5155317513693374,0.5292513289598677,0.01371957759053033,4,0.485546875
55,ADE_val_00000056.jpg,0.140015424087624,0.17279885807113196,0.03278343398350797,8,0.9880867953879942
56,ADE_val_00000057.jpg,0.24681453335425083,0.2140136702204029,-0.03280086313384792,6,0.8721815278861155
57,ADE_val_00000058.jpg,0.010825487842541658,0.00019042392871183332,-0.010635063913829824,2,0.9456853333333334
58,ADE_val_00000059.jpg,0.10294262189278626,0.1373258946310427,0.034383272738256435,4,0.8956053333333334
59,ADE_val_00000060.jpg,0.17543817968387942,0.217638857905277,0.042200678221397586,4,0.7873866666666667
60,ADE_val_00000061.jpg,0.14880911991700366,0.1346348665589713,-0.014174253358032352,9,0.9508154506437768
61,ADE_val_00000062.jpg,0.10375850603586619,0.06740769865959269,-0.0363508073762735,6,0.9881119791666667
62,ADE_val_00000063.jpg,0.11760571973227328,0.1594961054000143,0.04189038566774102,5,0.8998540774334425
63,ADE_val_00000064.jpg,0.6189370622997165,0.6174960608332134,-0.0014410014665030557,5,0.9802925925925926
64,ADE_val_00000065.jpg,0.1391241529316815,0.1412794988597211,0.0021553459280395926,17,0.6248285574128271
65,ADE_val_00000066.jpg,0.9425974018030221,0.9517920528327638,0.009194651029741707,3,0.9740393518518519
66,ADE_val_00000067.jpg,0.24520088529007364,0.17826538740831013,-0.0669354978817635,7,0.9245267489711935
67,ADE_val_00000068.jpg,0.07447718324207679,0.04974962159876112,-0.024727561643315674,13,0.932140309155767
68,ADE_val_00000069.jpg,0.05594779879388412,0.05840201184637513,0.0024542130524910152,7,0.950986700986701
